Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus monticola,Seal salamander,16.40,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus monticola,Seal salamander,18.00,28.00,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus ochrophaeus,Mountain dusky salamander,14.04,,FD,RBC,XL,"Hally, M.K., E.M. Rasch, H.R. Mainwaring, and R.C. Bruce (1986). Cytophotometric evidence of variation in genome size of desmognathine salamanders. Histochemistry 85: 185-192.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus ochrophaeus,Mountain dusky salamander,14.60,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus ochrophaeus,Mountain dusky salamander,15.70,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus ochrophaeus,Mountain dusky salamander,18.00,,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus quadramaculatus,Blackbelly salamander,14.50,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus quadramaculatus,Blackbelly salamander,15.06,,FD,RBC,XL,"Hally, M.K., E.M. Rasch, H.R. Mainwaring, and R.C. Bruce (1986). Cytophotometric evidence of variation in genome size of desmognathine salamanders. Histochemistry 85: 185-192.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus quadramaculatus,Blackbelly salamander,22.00,,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus wrighti,Pygmy salamander,13.70,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Desmognathus wrighti,Pygmy salamander,14.09,,FD,RBC,XL,"Hally, M.K., E.M. Rasch, H.R. Mainwaring, and R.C. Bruce (1986). Cytophotometric evidence of variation in genome size of desmognathine salamanders. Histochemistry 85: 185-192.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,31.00,,NS,NS,NS,"Morescalchi, A. (1975). Chromosome evolution in the caudate Amphibia. In: Evolutionary Biology, Vol. 8, edited by T. Dobzhansky, M.K. Hecht and W.C. Steere. Plenum Press, New York, pp.339-387.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,35.30,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,41.27,28.00,FD,RBC,"RE, HS","Olmo, E. (1973). Quantitative variations in the nuclear DNA and phylogenesis of the Amphibia. Caryologia 26: 43-68.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,41.50,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,42.00,,FD,RBC,"RE, HS","Morescalchi, A. and E. Olmo (1974). Sirenids: a family of polyploid urodeles? Experientia 30: 491-492.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi,Monterey salamander,42.17,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Ensatina eschscholtzi croceater,Ensatina salamander,40.50,,FIA,RBC,AJ,"Mueller, R.L., T.R. Gregory, S.M. Gregory, A. Hsieh, and J.L. Boore (2008). Genome size, cell size, and the evolution of enucleated erythocytes in attenuate salamanders. Zoology 111: 218-230.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea bislineata,Northern two-lined salamander,20.75,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea bislineata,Northern two-lined salamander,24.50,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea bislineata,Northern two-lined salamander,35.50,28.00,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea cirrigera,Southern two-lined salamander,25.00,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea longicauda,Longtail salamander,26.10,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea longicauda,Longtail salamander,28.60,28.00,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea lucifuga,Cave salamander,20.50,28.00,FD,RBC,"RE, HS","Morescalchi, A. and E. Olmo (1974). Sirenids: a family of polyploid urodeles? Experientia 30: 491-492.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea lucifuga,Cave salamander,21.05,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea nana,San Marcos salamander,26.20,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea neotenes,Texas salamander,25.80,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea quadridigitata,Dwarf salamander,24.70,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea tridentifera,Comal blind salamander,26.50,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Eurycea wilderae,Blue ridge two-lined salamander,21.20,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus,Spring salamander,10.12,,FD,LV,RP,"Goin, O.B., C.J. Goin, and K. Bachmann (1968). DNA and amphibian life history. Copeia 1968: 532-540.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus,Spring salamander,22.00,28.00,FD,RBC,"RE, HS","Morescalchi, A. and E. Olmo (1974). Sirenids: a family of polyploid urodeles? Experientia 30: 491-492.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus,Spring salamander,22.23,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus,Spring salamander,23.30,28.00,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus,Spring salamander,24.83,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Gyrinophilus porphyriticus danielsi,Blue ridge spring salamander,22.23,0-0,FD,RBC,NS,"Olmo, E. (2006). Unpublished.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Haideotriton wallacei,Georgia blind salamander,26.40,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hemidactylium scutatum,Four-toed salamander,32.30,,FD,RBC,V,"Capriglione, T., E. Olmo, B. Odierna, B. Improta, and A. Morescalchi (1987). Cytoflurometric DNA base determination in vertebrate species with different genome sizes. Basic and Applied Histochemistry 31: 119-126.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hemidactylium scutatum,Four-toed salamander,32.60,28.00,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hydromantes genei,Sardinian cave salamander,42.63,0-0,FD,RBC,NS,"Olmo, E. (2006). Unpublished.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hydromantes italicus,Italian cave salamander,67.10,,NS,NS,GD,"Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hydromantes italicus,Italian cave salamander,76.20,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Hydromantes platycephalus,Mount Lyell salamander,50.00,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Karsenia koreana,Salamander,52.10,,FIA,RBC,ANL,"Sessions, S.K., M. Stock, D.R. Vieites, R. Quarles, M.-S. Min, and D.B. Wake (2008). Cytogenetic analysis of the Asian plethodontid salamander, Karsenia koreana: evidence for karyotypic conservation, chromosome repatterning, and genome size evolution. Chr",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Lineatriton lineolus,Salamander,30.50,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Nototriton picadoi,Picado's moss salamander,28.10,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Nyctanolis pernix,Salamander,28.00,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Oedipina poelzi,Salamander,52.20,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Oedipina pseudouniformis,Salamander,40.90,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Oedipina uniformis,Salamander,44.90,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Parvimolge townsendi,Salamander,20.80,,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,20.00,,BCA,RBC,XL,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,21.40,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,22.30,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,22.50,,FD,RBC,XL,"Horner, H.A. and H.C. Macgregor (1983). C value and cell volume: their significance in the evolution and development of amphibians. Journal of Cell Science 63: 135-146.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,22.64,,FIA,RBC,AJ,"Mueller, R.L., T.R. Gregory, S.M. Gregory, A. Hsieh, and J.L. Boore (2008). Genome size, cell size, and the evolution of enucleated erythocytes in attenuate salamanders. Zoology 111: 218-230.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,23.00,,FD,RBC,"RE, HS","Morescalchi, A. and E. Olmo (1974). Sirenids: a family of polyploid urodeles? Experientia 30: 491-492.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,23.08,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,26.13,28.00,FD,RBC,"RE, HS","Olmo, E. (1973). Quantitative variations in the nuclear DNA and phylogenesis of the Amphibia. Caryologia 26: 43-68.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Eastern red-backed salamander,26.20,,FD,RBC,RP,"Sexsmith, L.E. (1968). DNA values and karyotypes of amphibians. Ph.D. Thesis, Department of Botany, University of Toronto, Toronto.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon dunni,Dunn's salamander,37.90,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon dunni,Dunn's salamander,38.80,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon dunni,Dunn's salamander,47.50,28.00,FD,RBC,XL,"Horner, H.A. and H.C. Macgregor (1983). C value and cell volume: their significance in the evolution and development of amphibians. Journal of Cell Science 63: 135-146.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon elongatus,Del Norte salamander,30.60,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon elongatus,Del Norte salamander,33.63,28.00,FD,RBC,"RE, HS","Olmo, E. (1973). Quantitative variations in the nuclear DNA and phylogenesis of the Amphibia. Caryologia 26: 43-68.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon elongatus,Del Norte salamander,33.63,,FD,RBC,RP,"Sexsmith, L.E. (1968). DNA values and karyotypes of amphibians. Ph.D. Thesis, Department of Botany, University of Toronto, Toronto.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon elongatus,Del Norte salamander,33.80,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,22.50,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,25.50,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,27.09,,FD,RBC,RE,"Olmo, E. (1974). Further data on the genome size in the urodeles. Bollettino di Zoologia 41: 29-33.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,28.00,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,28.54,28.00,FD,RBC,"RE, HS","Olmo, E. (1973). Quantitative variations in the nuclear DNA and phylogenesis of the Amphibia. Caryologia 26: 43-68.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,28.54,,FD,RBC,RP,"Sexsmith, L.E. (1968). DNA values and karyotypes of amphibians. Ph.D. Thesis, Department of Botany, University of Toronto, Toronto.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon glutinosus,Slimy salamander,43.00,,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon hoffmani,Valley and ridge salamander,21.40,28.00,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon jordani,Jordan's salamander,23.10,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon jordani,Jordan's salamander,27.80,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon jordani,Jordan's salamander,36.00,28.00,FD,RBC,"RP, V","Bachmann, K. (1970). Feulgen slope determinations of urodele nuclear DNA amounts. Histochemie 22: 289-293.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon larselli,Larch mountain salamander,47.60,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon larselli,Larch mountain salamander,49.50,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon neomexicanus,Jemez mountain salamander,30.70,28.00,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon ouachitae,Rich mountain salamander,33.70,28.00,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon richmondi,Ravine salamander,20.40,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon richmondi,Ravine salamander,20.90,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon shenandoah,Shenandoah salamander,18.20,28.00,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon vandykei,Van Dyke's salamander,69.30,28.00,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon vehiculum,Western red-backed salamander,35.60,,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon vehiculum,Western red-backed salamander,36.80,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon vehiculum,Western red-backed salamander,39.30,,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon vehiculum,Western red-backed salamander,40.04,28.00,FCM,RBC,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon wehrlei,Wehrle's salamander,20.30,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon wehrlei,Wehrle's salamander,28.10,28.00,FCM,RBC,AL,"Licht, L.E. and L.A. Lowcock (1991). Genome size and metabolic rate in salamanders. Comparative Biochemistry and Physiology 100B: 83-92.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon welleri,Weller's salamander,22.60,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon yonahlossee,Yonahlossee salamander,25.40,28.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Plethodon yonahlossee,Yonahlossee salamander,36.10,,FD,RBC,PC,"Mizuno, S. and H.C. Macgregor (1974). Chromosomes, DNA sequences, and evolution in salamanders of the genus Plethodon. Chromosoma 48: 239-296.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Pseudoeurycea bellii,Salamander,46.60,26.00,FD,RBC,"XL, V","Sessions, S.K. and A. Larson (1987). Developmental correlates of genome size in plethodontid salamanders and their implications for genome evolution. Evolution 41: 1239-1251.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Pseudoeurycea brunnata,Salamander,42.10,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
Chordata,Vertebrata,Amphibia,Urodela,Plethodontidae,Pseudoeurycea cephalica,Salamander,40.20,26.00,FD,RBC,"XL, V","Sessions, S.K. and J. Kezer (1991). Evolutionary cytogenetics of bolitoglossine salamanders (family Plethodontidae). In: Amphibian Cytogenetics and Evolution, edited by D.M. Green and S.K. Sessions. Academic Press, Sand Diego, CA, pp.89-130.",,
